GeneName	MeanOverall	DispOverall	Disp1	Disp2	DispFC	DispLog2FC	ProbDiffDisp	ResultDiffDisp
ATG16L1	0.059	0.511	0.682	0.267	2.552	1.352	0.814	NoDiff
ATG3	0.914	0.063	0.037	0.1	0.372	-1.427	0.824	NoDiff
ATG4B	0.393	0.113	0.09	0.146	0.576	-0.795	0.683	NoDiff
ATG4C	0.203	0.304	0.37	0.209	1.819	0.863	0.688	NoDiff
ATG7	0.083	0.205	0.178	0.244	0.826	-0.276	0.754	NoDiff
ATG9A	0.101	0.091	0.082	0.104	0.961	-0.058	0.794	NoDiff
ATIC	0.786	0.284	0.325	0.226	1.437	0.523	0.412	NoDiff
ATL2	0.069	0.385	0.412	0.348	1.121	0.165	0.623	NoDiff
ATP10D	0.153	0.359	0.285	0.464	0.651	-0.619	0.633	NoDiff
ATP11B	0.212	0.121	0.091	0.163	0.588	-0.765	0.764	NoDiff
ATP13A2	0.157	0.278	0.085	0.553	0.158	-2.66	0.99	GM18502+
ATP13A3	0.172	0.183	0.169	0.201	0.888	-0.172	0.533	NoDiff
ATP13A4	0.003	12.896	13.545	11.97	1.081	0.112	0.814	NoDiff
ATP1A1	1.123	0.567	0.656	0.44	1.474	0.56	0.422	NoDiff
ATP1A4	0.004	7.253	7.632	6.713	1.109	0.15	0.799	NoDiff
ATP1B1	0.073	14.522	16.762	11.328	1.494	0.58	0.492	NoDiff
ATP1B3	1.48	0.217	0.219	0.214	1.019	0.027	0.01	NoDiff
ATP2B4	0.017	3.048	3.964	1.742	2.264	1.179	0.834	ExcludedFromTesting
ATP2C1	0.325	0.121	0.108	0.141	0.682	-0.553	0.653	NoDiff
ATP5F1	4.377	0.061	0.067	0.053	1.267	0.342	0.146	NoDiff
ATP5G3	12.907	0.112	0.124	0.095	1.318	0.399	0.015	NoDiff
ATP5I	4.723	0.067	0.068	0.064	1.052	0.074	0.005	NoDiff
ATP6V0B	3.467	0.162	0.178	0.14	1.254	0.327	0.05	NoDiff
ATP6V1A	0.246	0.208	0.217	0.196	1.062	0.087	0.462	NoDiff
ATP6V1B1	0.003	17.923	17.007	19.229	0.841	-0.249	0.854	NoDiff
ATP6V1C2	0.005	8.25	7.342	9.543	0.766	-0.384	0.678	NoDiff
ATP6V1E2	0.101	0.629	0.87	0.286	2.671	1.417	0.849	NoDiff
ATP8A1	0.291	0.72	0.959	0.381	2.471	1.305	0.975	GM12878+
ATP8B2	0.047	0.972	1.039	0.877	1.013	0.018	0.734	ExcludedFromTesting
ATPAF1	0.657	0.081	0.051	0.122	0.44	-1.183	0.819	NoDiff
ATPIF1	7.199	0.179	0.204	0.143	1.425	0.511	0.276	NoDiff
ATR	0.069	0.332	0.45	0.164	2.896	1.534	0.814	NoDiff
ATRAID	2.168	0.092	0.117	0.056	2.125	1.087	0.955	GM12878+
ATRIP.1	0.004	9.767	13.124	4.981	2.247	1.168	0.814	NoDiff
ATXN7	0.173	0.189	0.272	0.071	3.96	1.986	0.879	NoDiff
ATXN7L2	0.029	1.452	2.14	0.47	4.536	2.182	0.889	NoDiff
AUNIP	0.018	2.087	2.395	1.648	1.69	0.757	0.744	ExcludedFromTesting
AUP1	2.432	0.077	0.091	0.058	1.598	0.676	0.613	NoDiff
AURKAIP1	5.413	0.058	0.054	0.064	0.868	-0.204	0.045	NoDiff
AXDND1	0.003	12.077	12.428	11.577	1.187	0.247	0.749	NoDiff
AZI2	0.433	0.09	0.133	0.03	4.672	2.224	0.899	NoDiff
AZIN2	0.003	13.699	15.25	11.487	1.323	0.404	0.734	NoDiff
B3GALNT1	0.015	6.913	10.904	1.223	9.548	3.255	0.955	ExcludedFromTesting
B3GALNT2	0.111	0.38	0.365	0.401	0.893	-0.164	0.598	NoDiff
B3GALT6	0.046	1.322	2.158	0.13	17.803	4.154	1	GM12878+
B3GNT2	0.634	0.506	0.589	0.388	1.525	0.609	0.533	NoDiff
B3GNT5	0.002	8.721	10.541	6.127	2.168	1.117	0.799	ExcludedFromTesting
B3GNT7	0.08	3.582	3.697	3.417	1.085	0.117	0.196	NoDiff
B4GALT2	0.057	0.624	0.478	0.832	0.541	-0.887	0.693	NoDiff
B4GALT3	1.368	0.43	0.422	0.442	0.969	-0.046	0.005	ExcludedFromTesting
B4GALT4	0.155	0.154	0.19	0.102	1.647	0.72	0.739	NoDiff
BANK1	0.021	8.934	9.255	8.477	1.09	0.124	0.447	NoDiff
BAP1	0.195	0.078	0.075	0.082	1.05	0.07	0.729	NoDiff
BARD1	0.31	0.537	0.583	0.472	1.239	0.309	0.271	NoDiff
BATF3	0.225	4.202	5.394	2.502	2.159	1.11	0.995	ExcludedFromTesting
BAZ2B	0.489	0.465	0.409	0.546	0.76	-0.396	0.251	NoDiff
BBS5	0.008	2.575	2.483	2.707	0.974	-0.038	0.804	NoDiff
BBX	0.977	0.159	0.163	0.154	1.052	0.073	0.156	NoDiff
BCAR3	0.116	1.617	1.594	1.648	0.936	-0.095	0.241	NoDiff
BCAS2	0.711	0.083	0.073	0.097	0.807	-0.309	0.457	NoDiff
BCL10	0.308	0.202	0.198	0.207	0.968	-0.047	0.427	NoDiff
BCL11A	0.354	1.374	1.628	1.011	1.6	0.678	0.693	NoDiff
BCL2L11	0.093	6.763	6.354	7.347	0.845	-0.243	0.106	NoDiff
BCL2L15	0.005	13.986	17.999	8.263	2.613	1.385	0.819	NoDiff
BCL9	0.059	0.314	0.229	0.436	0.507	-0.981	0.719	NoDiff
BCS1L	0.193	0.278	0.407	0.095	4.082	2.029	0.93	NoDiff
BCYRN1	0.006	16.513	17.313	15.372	1.098	0.135	0.668	NoDiff
BDH1	0.133	0.375	0.504	0.192	2.837	1.504	0.839	NoDiff
BDH2	0.202	0.294	0.354	0.208	1.758	0.814	0.704	NoDiff
BEND4	0.008	5.452	8.346	1.324	6.22	2.637	0.925	NoDiff
BEND5	0.015	18.187	23.544	10.549	2.161	1.112	0.799	ExcludedFromTesting
BEST4	0.017	2.971	4.137	1.309	3.272	1.71	0.874	NoDiff
BFSP2	0.625	1.568	1.564	1.574	0.993	-0.009	0.01	NoDiff
BFSP2-AS1	0.028	3.098	1.552	5.301	0.297	-1.754	0.905	NoDiff
BGLAP	0.005	6.818	5.408	8.829	0.794	-0.333	0.734	NoDiff
BHLHE40	0.172	2.122	2.437	1.673	1.48	0.565	0.477	ExcludedFromTesting
BHLHE40-AS1	0.008	3.826	2.464	5.769	0.39	-1.36	0.774	NoDiff
BIN1	0.764	2.691	3.672	1.293	2.839	1.506	0.995	GM12878+
BIRC6	0.347	0.101	0.131	0.057	2.456	1.296	0.764	NoDiff
BLOC1S4	0.74	0.065	0.063	0.068	0.902	-0.15	0.558	NoDiff
BLZF1	0.133	0.194	0.255	0.107	2.141	1.098	0.789	NoDiff
BMP2K	0.114	1.461	1.9	0.834	2.331	1.221	0.869	NoDiff
BMP8B	0.01	7.366	6.158	9.089	0.685	-0.545	0.764	ExcludedFromTesting
BMPR2	0.17	0.285	0.323	0.23	1.267	0.342	0.593	NoDiff
BNIPL	0.004	9.816	13.216	4.967	2.71	1.439	0.824	NoDiff
BOC	0.004	11.348	15.888	4.874	3.332	1.737	0.864	NoDiff
BOD1L1	0.25	0.102	0.092	0.117	0.75	-0.415	0.653	NoDiff
BOK	0.002	17.059	19.791	13.165	1.456	0.542	0.799	NoDiff
BOLA1	0.246	0.156	0.194	0.101	1.823	0.866	0.698	NoDiff
BOLA3	1.549	0.383	0.486	0.235	2.065	1.046	1	ExcludedFromTesting
BOLA3-AS1	0.018	1.626	1.595	1.669	1.008	0.012	0.688	NoDiff
BPNT1	0.248	0.29	0.277	0.308	0.894	-0.161	0.452	NoDiff
BRE	0.294	0.083	0.08	0.089	0.899	-0.154	0.698	NoDiff
BRK1	5.977	0.047	0.043	0.054	0.797	-0.327	0.09	NoDiff
BROX	0.306	0.353	0.318	0.404	0.787	-0.346	0.402	NoDiff
BRPF1	0.062	0.24	0.282	0.18	1.578	0.658	0.759	NoDiff
BSDC1	0.421	0.144	0.133	0.159	0.802	-0.319	0.492	NoDiff
BST1	0.004	7.898	8.99	6.34	1.518	0.602	0.829	NoDiff
BTBD19	0.006	6.375	4.394	9.199	0.487	-1.038	0.794	NoDiff
BTBD8	0.005	5.681	6.542	4.452	1.531	0.615	0.769	NoDiff
BTD	0.051	0.473	0.438	0.523	0.878	-0.187	0.724	NoDiff
BTF3L4	0.943	0.079	0.047	0.124	0.377	-1.408	0.889	NoDiff
BTG2	3.784	1.025	1.019	1.032	0.987	-0.018	0	NoDiff
BTLA	0.811	0.625	0.769	0.419	1.809	0.855	0.93	NoDiff
BUB1	0.073	1.448	1.515	1.354	1.12	0.164	0.402	NoDiff
BZW1	1.393	0.235	0.246	0.219	1.133	0.18	0.015	NoDiff
C1D	1.164	0.014	0.013	0.017	0.822	-0.282	0.653	NoDiff
C1orf101	0.004	10.088	13.372	5.406	2.567	1.36	0.844	NoDiff
C1orf106	0.032	5.205	6.849	2.862	2.245	1.167	0.779	NoDiff
C1orf109	0.107	0.544	0.681	0.349	1.904	0.929	0.709	NoDiff
C1orf112	0.024	1.208	1.743	0.446	4.084	2.03	0.879	NoDiff
C1orf115	0.026	3.916	4.329	3.328	1.248	0.32	0.628	ExcludedFromTesting
C1orf122	1.184	0.134	0.169	0.084	2.004	1.003	0.894	NoDiff
C1orf123	0.51	0.06	0.07	0.046	1.588	0.667	0.693	NoDiff
C1orf127	0.009	2.303	1.929	2.837	0.861	-0.216	0.744	NoDiff
C1orf131	0.48	0.064	0.064	0.064	0.983	-0.025	0.643	NoDiff
C1orf132	0.077	1.046	0.728	1.498	0.471	-1.085	0.739	NoDiff
C1orf159	0.047	0.378	0.37	0.39	0.968	-0.046	0.719	NoDiff
C1orf162	0.112	15.897	25.228	2.593	9.716	3.28	1	ExcludedFromTesting
C1orf174	0.329	0.229	0.242	0.21	1.163	0.218	0.452	NoDiff
C1orf186	0.571	2.256	2.02	2.592	0.778	-0.363	0.025	ExcludedFromTesting
C1orf198	0.01	9.627	12.572	5.428	2.519	1.333	0.774	NoDiff
C1orf204	0.001	10.49	11.442	9.131	1.183	0.242	0.849	ExcludedFromTesting
C1orf21	0.018	48.737	72.048	15.497	4.639	2.214	0.96	ExcludedFromTesting
C1orf216	0.139	0.269	0.32	0.196	1.767	0.821	0.698	NoDiff
C1orf220	0.024	2.46	1.545	3.763	0.392	-1.352	0.809	NoDiff
C1orf228	0.081	3.788	4.726	2.45	1.96	0.971	0.834	NoDiff
C1orf233	0.005	5.148	4.616	5.906	0.986	-0.02	0.789	NoDiff
C1orf234	0.002	15.818	23.074	5.472	2.812	1.492	0.859	ExcludedFromTesting
C1orf27	0.163	0.095	0.102	0.084	1.337	0.419	0.744	NoDiff
C1orf35	0.352	0.227	0.212	0.249	0.855	-0.226	0.387	NoDiff
C1orf43	3.608	0.033	0.034	0.032	1.056	0.078	0.181	NoDiff
C1orf50	0.663	0.069	0.059	0.083	0.723	-0.468	0.543	NoDiff
C1orf52	0.364	0.061	0.061	0.061	0.911	-0.135	0.658	NoDiff
C1orf53	0.056	0.821	0.272	1.604	0.159	-2.657	0.92	ExcludedFromTesting
C1orf54	0.099	3.108	4.405	1.259	3.572	1.837	1	ExcludedFromTesting
C1orf56	0.437	1.1	1.191	0.97	1.237	0.306	0.03	NoDiff
C1orf61	0.059	2.267	2.543	1.873	1.354	0.437	0.437	NoDiff
C1orf74	0.036	0.471	0.599	0.288	2.275	1.186	0.794	NoDiff
C2CD4D	0.003	9.907	12.075	6.816	1.669	0.739	0.804	NoDiff
C2orf15	0.032	0.536	0.664	0.354	1.866	0.9	0.719	NoDiff
C2orf27B	0.009	5.896	8.427	2.288	4.277	2.097	0.884	NoDiff
C2orf42	0.152	0.769	0.822	0.693	1.176	0.234	0.302	NoDiff
C2orf44	0.034	0.616	0.846	0.289	2.771	1.47	0.859	NoDiff
C2orf47	0.306	0.053	0.049	0.058	0.809	-0.305	0.734	NoDiff
C2orf48	0.008	1967.723	3337.654	14.356	93.18	6.542	0.965	GM12878+
C2orf49	0.253	0.116	0.082	0.165	0.556	-0.847	0.714	NoDiff
C2orf68	0.273	0.139	0.189	0.069	2.706	1.436	0.829	NoDiff
C2orf69	0.183	0.353	0.442	0.226	1.978	0.984	0.744	NoDiff
C2orf74	0.344	0.074	0.077	0.071	1.026	0.037	0.663	NoDiff
C2orf76	0.46	0.239	0.292	0.164	1.749	0.806	0.724	NoDiff
C2orf81	0.04	1.092	1.083	1.105	0.928	-0.108	0.583	NoDiff
C2orf82	0.004	12.258	15.483	7.66	1.997	0.998	0.814	NoDiff
C2orf88	0.491	2.336	2.222	2.499	0.9	-0.152	0.005	ExcludedFromTesting
C2orf91	0.009	4.01	3.202	5.162	0.614	-0.704	0.759	NoDiff
C3orf14	0.216	6.463	10.697	0.425	25.294	4.661	1	ExcludedFromTesting
C3orf17	0.339	0.084	0.067	0.108	0.594	-0.752	0.683	NoDiff
C3orf18	0.008	5.943	6.175	5.612	1.038	0.054	0.709	NoDiff
C3orf20	0.001	17.654	17.239	18.247	0.538	-0.895	0.829	ExcludedFromTesting
C3orf33	0.026	0.744	0.95	0.452	1.788	0.838	0.744	NoDiff
C3orf38	0.345	0.144	0.09	0.222	0.423	-1.241	0.799	NoDiff
C3orf49	0.003	16.842	14.953	19.534	1.006	0.008	0.849	NoDiff
C3orf52	0.02	1.449	1.548	1.307	1.167	0.223	0.673	ExcludedFromTesting
C3orf58	0.106	2.065	2.619	1.276	2.031	1.022	0.834	ExcludedFromTesting
C3orf62	0.089	0.493	0.694	0.206	2.964	1.568	0.844	NoDiff
C3orf67	0.011	5.644	8.474	1.609	4.637	2.213	0.915	ExcludedFromTesting
C4BPB	0.016	4.03	2.533	6.165	0.419	-1.255	0.809	NoDiff
C4orf26	0.009	445.437	59.728	995.414	0.062	-4.012	1	GM18502+
C4orf32	0.209	1.576	1.851	1.183	1.601	0.679	0.638	ExcludedFromTesting
C4orf36	0.159	0.806	0.924	0.638	1.469	0.555	0.508	NoDiff
C4orf48	1.293	0.183	0.167	0.205	0.812	-0.301	0.141	NoDiff
CAB39	0.311	0.197	0.231	0.149	1.539	0.622	0.608	NoDiff
CACNA1D	0.004	11.76	9.147	15.486	0.614	-0.705	0.774	NoDiff
CACNA1E	0.021	4.756	5.356	3.901	1.387	0.472	0.588	NoDiff
CACNB4	0.063	2.153	3.014	0.927	3.107	1.635	0.869	ExcludedFromTesting
CACYBP	1.624	0.262	0.254	0.273	0.929	-0.107	0	NoDiff
CAD	0.087	0.351	0.394	0.29	1.309	0.388	0.633	NoDiff
CADM3	0.002	13.666	9.258	19.951	0.367	-1.445	0.829	ExcludedFromTesting
CALCRL	0.02	1.409	1.748	0.924	2.038	1.027	0.729	NoDiff
CALM2	9.509	0.254	0.262	0.243	1.075	0.104	0	NoDiff
CAMK1	0.027	9.236	11.685	5.744	1.919	0.941	0.719	ExcludedFromTesting
CAMK1G	0.003	11.628	11.702	11.521	1.23	0.299	0.784	NoDiff
CAMKMT	0.122	0.305	0.359	0.227	1.562	0.643	0.673	NoDiff
CAMP	0.139	8.495	10.358	5.839	1.775	0.827	0.864	NoDiff
CAMSAP2	0.082	0.393	0.505	0.234	2.202	1.139	0.744	NoDiff
CAMTA1	1.509	0.054	0.057	0.049	1.184	0.244	0.357	NoDiff
CAND2	0.003	10.042	14.462	3.739	4.755	2.249	0.94	ExcludedFromTesting
CAP1	3.55	0.194	0.214	0.164	1.301	0.379	0.055	NoDiff
CAPG	0.739	1.526	1.717	1.255	1.358	0.442	0.065	NoDiff
CAPN10	0.142	0.147	0.103	0.209	0.525	-0.928	0.734	NoDiff
CAPN10-AS1	0.204	1.589	2.048	0.934	2.184	1.127	0.874	ExcludedFromTesting
CAPN14	0.004	11.461	8.716	15.376	0.585	-0.773	0.779	NoDiff
CAPN2	0.277	2.562	1.837	3.596	0.505	-0.984	0.95	ExcludedFromTesting
CAPN7	0.121	0.266	0.139	0.448	0.28	-1.835	0.834	NoDiff
CAPN8	0.007	29.934	20.775	42.994	0.454	-1.139	0.704	ExcludedFromTesting
CAPZA1	3.031	0.23	0.333	0.083	3.982	1.993	1	GM12878+
CAPZB	4.673	0.119	0.123	0.113	1.093	0.128	0.015	NoDiff
CARF	0.123	0.499	0.28	0.811	0.361	-1.47	0.824	NoDiff
CASP10	0.162	1.842	1.566	2.236	0.7	-0.515	0.437	NoDiff
CASP6	0.261	0.404	0.408	0.398	1.026	0.037	0.266	NoDiff
CASP8	0.254	0.525	0.557	0.48	1.171	0.228	0.251	NoDiff
CASP9	0.087	0.22	0.229	0.207	1.024	0.035	0.729	NoDiff
CASR	0.002	16.129	15.737	16.688	0.957	-0.064	0.859	ExcludedFromTesting
CASZ1	0.031	1.655	2.46	0.507	4.673	2.224	0.849	NoDiff
CBLB	0.33	0.862	0.893	0.819	1.093	0.129	0.075	NoDiff
CBWD2	0.304	0.082	0.081	0.083	1.005	0.007	0.623	ExcludedFromTesting
CC2D1B	0.078	0.258	0.164	0.392	0.386	-1.372	0.774	NoDiff
CC2D2A	0.003	30.705	8.908	61.785	0.183	-2.453	0.839	NoDiff
CCBL2	0.297	0.248	0.171	0.358	0.491	-1.026	0.749	NoDiff
CCDC109B	1.744	0.366	0.317	0.437	0.732	-0.45	0.176	NoDiff
CCDC115	0.566	0.191	0.203	0.175	1.169	0.226	0.302	NoDiff
CCDC12	1.783	0.062	0.066	0.056	1.19	0.251	0.291	NoDiff
CCDC121	0.009	2.879	3.207	2.412	1.149	0.201	0.709	NoDiff
CCDC13	0.01	4.208	6.597	0.803	7.732	2.951	0.95	ExcludedFromTesting
CCDC138	0.054	0.523	0.659	0.33	1.796	0.845	0.729	NoDiff
CCDC14	0.229	0.458	0.657	0.175	3.827	1.936	0.985	GM12878+
CCDC141	0.023	2.855	3.182	2.389	1.346	0.429	0.608	NoDiff
CCDC142	0.087	0.161	0.143	0.188	0.623	-0.682	0.829	NoDiff
CCDC148	0.003	23.595	19.829	28.965	0.671	-0.576	0.864	NoDiff
CCDC149	0.004	11.527	16.741	4.092	4.286	2.1	0.94	ExcludedFromTesting
CCDC150	0.01	2.581	3.483	1.294	2.535	1.342	0.809	NoDiff
CCDC163P	0.039	2.357	3.021	1.41	1.939	0.956	0.719	ExcludedFromTesting
CCDC17	0.005	8.492	5.085	13.351	0.351	-1.512	0.824	NoDiff
CCDC174	0.488	0.113	0.076	0.166	0.464	-1.108	0.774	NoDiff
CCDC18	0.224	0.375	0.394	0.348	1.162	0.216	0.397	NoDiff
CCDC191	0.031	1.87	2.203	1.395	1.5	0.585	0.673	NoDiff
CCDC24	0.021	1.152	1.075	1.261	0.798	-0.325	0.633	NoDiff
CCDC28B	1.637	1.445	2	0.654	3.072	1.619	1	ExcludedFromTesting
CCDC30	0.021	2.428	1.978	3.07	0.701	-0.513	0.658	NoDiff
CCDC39	0.034	1.975	2.498	1.23	2.215	1.147	0.789	ExcludedFromTesting
CCDC50	1.451	0.336	0.314	0.368	0.857	-0.223	0.01	NoDiff
CCDC51	0.292	0.115	0.137	0.084	1.655	0.727	0.653	NoDiff
CCDC58	0.156	0.332	0.295	0.385	0.832	-0.266	0.543	NoDiff
CCDC66	0.204	0.16	0.172	0.143	1.14	0.189	0.653	NoDiff
CCDC71	0.313	0.084	0.099	0.063	1.59	0.669	0.754	NoDiff
CCDC74A	0.647	3.391	3.836	2.755	1.407	0.493	0.206	ExcludedFromTesting
CCDC74B	0.025	7.905	7.217	8.884	0.827	-0.274	0.598	ExcludedFromTesting
CCDC80	0.004	26.572	37.569	10.891	3.824	1.935	0.894	NoDiff
CCDC85A	0.001	27.456	14.024	46.609	0.379	-1.399	0.889	ExcludedFromTesting
CCDC88A	0.32	0.68	0.825	0.474	1.77	0.824	0.794	NoDiff
CCDC93	0.095	0.249	0.275	0.212	1.255	0.328	0.688	NoDiff
CCDC96	0.007	3.802	4.237	3.181	1.226	0.295	0.754	NoDiff
CCL20	0.012	180.852	129.328	254.321	0.538	-0.895	0.698	NoDiff
CCNG2	0.221	0.977	0.911	1.071	0.834	-0.262	0.216	NoDiff
CCNI	7.764	0.091	0.097	0.082	1.175	0.232	0.005	NoDiff
CCNL1	0.865	0.201	0.217	0.178	1.224	0.292	0.166	NoDiff
CCNL2	0.371	0.054	0.056	0.053	1.155	0.207	0.653	NoDiff
CCNT2	0.115	0.266	0.362	0.13	2.612	1.385	0.759	NoDiff
CCNT2-AS1	0.018	1.559	1.716	1.336	1.297	0.375	0.774	NoDiff
CCNYL1	0.064	0.264	0.217	0.331	0.642	-0.639	0.754	NoDiff
CCR1	0.111	10.667	11.834	9.004	1.314	0.394	0.246	NoDiff
CCR2	0.007	275.491	13.398	649.205	0.025	-5.347	1	GM18502+
CCR3	0.005	16.779	12.446	22.958	0.543	-0.882	0.769	NoDiff
CCRL2	0.023	3.275	5.057	0.734	6.931	2.793	0.955	ExcludedFromTesting
CCSAP	0.034	3.675	3.308	4.199	0.8	-0.323	0.472	NoDiff
CCSER1	0.014	1.345	1.289	1.425	0.871	-0.199	0.744	NoDiff
CCT3	3.201	0.115	0.125	0.1	1.262	0.335	0.065	NoDiff
CCT4	1.907	0.131	0.141	0.116	1.212	0.278	0.106	NoDiff
CCT7	1.865	0.118	0.122	0.112	1.102	0.14	0.025	NoDiff
CD101	0.005	14.052	19.658	6.057	3.819	1.933	0.824	NoDiff
CD160	0.007	4.528	4.485	4.589	0.896	-0.159	0.764	NoDiff
CD1C	0.098	20.614	28.174	9.835	2.878	1.525	1	ExcludedFromTesting
CD1D	0.011	1615.392	2743.083	7.431	364.131	8.508	0.96	GM12878+
CD200	0.331	1.462	1.852	0.906	2.016	1.011	0.99	GM12878+
CD200R1	0.039	3.041	4.675	0.711	6.502	2.701	0.995	GM12878+
CD244	0.009	32.306	30.094	35.461	0.82	-0.285	0.638	ExcludedFromTesting
CD247	0.004	9.826	13.157	5.077	2.955	1.563	0.859	NoDiff
CD28	0.01	18.208	13.867	24.397	0.516	-0.954	0.719	NoDiff
CD302	0.03	0.511	0.607	0.374	1.588	0.667	0.724	NoDiff
CD38	1.058	2.137	1.446	3.124	0.457	-1.131	1	ExcludedFromTesting
CD46	0.27	0.155	0.212	0.075	2.631	1.396	0.844	NoDiff
CD47	3.033	0.206	0.183	0.24	0.75	-0.414	0.06	NoDiff
CD48	15.144	0.486	0.544	0.405	1.353	0.436	0.01	NoDiff
CD52	14.05	0.894	1.05	0.672	1.565	0.647	0.915	NoDiff
CD53	8.276	0.417	0.396	0.447	0.884	-0.178	0	NoDiff
CD55	0.598	1.287	1.196	1.417	0.851	-0.233	0.005	ExcludedFromTesting
CD58	0.629	0.679	0.844	0.443	1.932	0.95	0.97	GM12878+
CD5L	0.001	15.133	14.367	16.225	0.724	-0.465	0.784	ExcludedFromTesting
CD80	0.215	3.496	4.217	2.469	1.687	0.755	0.824	NoDiff
CD84	0.102	3.274	4.344	1.747	2.425	1.278	0.995	GM12878+
CD86	0.588	1.271	1.123	1.482	0.765	-0.386	0.08	NoDiff
CD96	0.021	31.009	27.186	36.461	0.747	-0.422	0.508	ExcludedFromTesting
CDA	0.007	129.051	162.243	81.724	2.184	1.127	0.864	NoDiff
CDC14A	0.015	0.801	0.917	0.636	1.678	0.747	0.819	NoDiff
CDC20	0.176	4.508	4.702	4.232	1.137	0.185	0.05	ExcludedFromTesting
CDC25A	0.027	2.148	1.408	3.205	0.421	-1.249	0.784	NoDiff
CDC42	4.252	0.35	0.351	0.348	1.019	0.028	0	NoDiff
CDC42BPA	0.022	5.702	4.906	6.837	0.705	-0.505	0.683	ExcludedFromTesting
CDC42EP3	0.51	0.696	0.865	0.455	1.935	0.952	0.93	NoDiff
CDC42SE1	0.906	0.285	0.325	0.228	1.443	0.529	0.412	NoDiff
CDC7	0.037	0.948	1.086	0.75	1.464	0.55	0.749	NoDiff
CDC73	0.494	0.069	0.034	0.119	0.281	-1.833	0.864	NoDiff
CDCA7	0.187	1.996	2.502	1.276	1.946	0.961	0.945	ExcludedFromTesting
CDCA8	0.049	2.717	2.808	2.587	1.105	0.144	0.407	NoDiff
CDCP1	0.007	12.121	14.664	8.494	1.618	0.694	0.764	NoDiff
CDK11A	0.288	0.073	0.071	0.076	0.919	-0.121	0.729	NoDiff
CDK11B	0.367	0.055	0.069	0.034	1.989	0.992	0.784	NoDiff
CDK18	0.003	12.478	14.026	10.27	1.429	0.515	0.759	ExcludedFromTesting
CDKL2	0.003	18.823	20.948	15.793	1.081	0.112	0.759	NoDiff
CDKL4	0.001	15.9	16.089	15.632	0.709	-0.497	0.814	ExcludedFromTesting
CDKN2C	1.339	1.512	1.766	1.15	1.526	0.61	0.598	ExcludedFromTesting
CDV3	1.347	0.261	0.243	0.286	0.849	-0.236	0.025	NoDiff
CEBPZ	0.452	0.26	0.21	0.332	0.633	-0.659	0.558	NoDiff
CEBPZOS	0.573	0.088	0.108	0.06	1.781	0.833	0.688	NoDiff
CELSR2	0.003	27.186	19.352	38.357	0.468	-1.096	0.779	NoDiff
CELSR3	0.004	13.197	18.313	5.902	3.642	1.865	0.854	NoDiff
CENPA	0.08	2.524	1.644	3.778	0.434	-1.205	0.899	NoDiff
CENPC	0.236	0.169	0.251	0.052	4.741	2.245	0.894	NoDiff
CENPE	0.079	2.786	2.767	2.813	0.977	-0.034	0.196	ExcludedFromTesting
CENPF	0.158	5.069	6.052	3.666	1.649	0.722	0.683	ExcludedFromTesting
CENPL	0.078	1.185	1.843	0.248	7.6	2.926	0.99	GM12878+
CENPO	0.028	0.679	0.853	0.43	1.8	0.848	0.744	NoDiff
CEP104	0.312	0.155	0.156	0.154	0.986	-0.02	0.452	NoDiff
CEP135	0.134	1.312	1.24	1.415	0.858	-0.22	0.191	NoDiff
CEP170	0.187	0.105	0.062	0.166	0.37	-1.434	0.844	NoDiff
CEP19	0.11	0.516	0.278	0.855	0.321	-1.64	0.839	NoDiff
CEP350	0.376	0.207	0.282	0.1	2.745	1.457	0.91	NoDiff
CEP63	0.382	0.135	0.147	0.119	1.192	0.253	0.513	NoDiff
CEP68	0.099	0.376	0.29	0.499	0.556	-0.846	0.693	NoDiff
CEP70	0.049	3.419	3.285	3.609	0.906	-0.143	0.432	ExcludedFromTesting
CEP85	0.034	0.727	0.963	0.391	2.49	1.316	0.794	NoDiff
CEP97	0.061	0.501	0.358	0.706	0.447	-1.161	0.784	NoDiff
CEPT1	0.744	0.592	0.587	0.601	0.971	-0.043	0.01	ExcludedFromTesting
CERKL	0.004	31.307	43.815	13.473	3.545	1.826	0.844	NoDiff
CERS2	0.322	0.141	0.155	0.122	1.32	0.401	0.588	NoDiff
CERS6	0.345	0.304	0.359	0.224	1.645	0.718	0.593	NoDiff
CFAP36	0.352	0.28	0.328	0.212	1.482	0.567	0.518	NoDiff
CFAP44	0.013	1.789	1.645	1.995	0.91	-0.136	0.724	NoDiff
CFAP45	0.005	10.216	8.364	12.858	0.808	-0.308	0.704	NoDiff
CFAP57	0.077	2.893	3.035	2.689	1.113	0.155	0.231	NoDiff
CFLAR	2.092	0.885	0.717	1.124	0.644	-0.635	0.764	NoDiff
CFLAR-AS1	0.004	7.219	6.92	7.645	0.975	-0.036	0.859	NoDiff
CGGBP1	0.628	0.097	0.111	0.077	1.383	0.468	0.538	NoDiff
CGN	0.005	12.722	11.118	15.009	0.739	-0.436	0.734	NoDiff
CGREF1	0.006	16.727	23.918	6.474	3.531	1.82	0.889	ExcludedFromTesting
CH17-189H20.1	0.581	0.421	0.462	0.363	1.278	0.354	0.241	ExcludedFromTesting
CH17-353B19.1	0.004	52.073	81.217	10.515	6.422	2.683	0.899	NoDiff
CH17-373J23.1	0.039	2.323	3.149	1.145	2.861	1.517	0.864	ExcludedFromTesting
