GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
B4GALT3	1.368	1.658	0.955	1.74	0.799	1	GM12878+
B4GALT4	0.155	0.151	0.159	0.947	-0.079	0	NoDiff
BANK1	0.021	0.018	0.024	0.753	-0.41	0.246	NoDiff
BAP1	0.195	0.196	0.192	1.018	0.025	0	NoDiff
BARD1	0.31	0.331	0.279	1.183	0.242	0	NoDiff
BATF3	0.225	0.167	0.308	0.54	-0.89	1	GM18502+
BAZ2B	0.489	0.532	0.427	1.238	0.308	0	NoDiff
BBS5	0.008	0.009	0.007	1.214	0.28	0.231	NoDiff
BBX	0.977	0.956	1.005	0.949	-0.075	0	NoDiff
BCAR3	0.116	0.122	0.107	1.137	0.186	0.04	NoDiff
BCAS2	0.711	0.745	0.662	1.129	0.175	0	NoDiff
BCL10	0.308	0.315	0.297	1.06	0.084	0	NoDiff
BCL11A	0.354	0.319	0.402	0.791	-0.338	0	NoDiff
BCL2L11	0.093	0.08	0.111	0.713	-0.488	0.251	NoDiff
BCL2L15	0.005	0.005	0.007	0.731	-0.452	0.352	NoDiff
BCL9	0.059	0.065	0.05	1.319	0.399	0.05	NoDiff
BCS1L	0.193	0.173	0.222	0.778	-0.362	0	NoDiff
BCYRN1	0.006	0.006	0.006	0.9	-0.151	0.166	NoDiff
BDH1	0.133	0.115	0.159	0.722	-0.469	0.101	NoDiff
BDH2	0.202	0.164	0.256	0.638	-0.649	0.824	NoDiff
BEND4	0.008	0.005	0.011	0.49	-1.028	0.925	NoDiff
BEND5	0.015	0.001	0.037	0.015	-6.066	1	GM18502+
BEST4	0.017	0.018	0.016	1.125	0.17	0.03	NoDiff
BFSP2	0.625	0.576	0.694	0.83	-0.269	0	NoDiff
BFSP2-AS1	0.028	0.03	0.025	1.195	0.257	0.055	NoDiff
BGLAP	0.005	0.006	0.004	1.421	0.507	0.417	NoDiff
BHLHE40	0.172	0.13	0.232	0.556	-0.848	0.995	GM18502+
BHLHE40-AS1	0.008	0.009	0.006	1.467	0.553	0.472	NoDiff
BIN1	0.764	0.797	0.717	1.112	0.153	0	NoDiff
BIRC6	0.347	0.339	0.36	0.938	-0.092	0	NoDiff
BLOC1S4	0.74	0.714	0.776	0.92	-0.12	0	NoDiff
BLZF1	0.133	0.145	0.116	1.25	0.322	0.095	NoDiff
BMP2K	0.114	0.124	0.099	1.239	0.309	0.126	NoDiff
BMP8B	0.01	0.014	0.004	3.886	1.958	0.995	GM12878+
BMPR2	0.17	0.169	0.17	0.993	-0.011	0	NoDiff
BNIPL	0.004	0.004	0.005	0.77	-0.378	0.327	NoDiff
BOC	0.004	0.004	0.005	0.754	-0.408	0.397	NoDiff
BOD1L1	0.25	0.249	0.25	0.997	-0.005	0	NoDiff
BOK	0.002	0.001	0.004	0.261	-1.938	0.854	NoDiff
BOLA1	0.246	0.239	0.256	0.936	-0.095	0	NoDiff
BOLA3	1.549	1.256	1.966	0.636	-0.654	0.98	GM18502+
BOLA3-AS1	0.018	0.017	0.02	0.807	-0.31	0.116	NoDiff
BPNT1	0.248	0.283	0.197	1.436	0.522	0.171	NoDiff
BRE	0.294	0.3	0.287	1.046	0.064	0	NoDiff
BRK1	5.977	5.943	6.026	0.987	-0.019	0	NoDiff
BROX	0.306	0.341	0.256	1.335	0.417	0.005	NoDiff
BRPF1	0.062	0.055	0.072	0.759	-0.398	0.07	NoDiff
BSDC1	0.421	0.449	0.383	1.17	0.227	0	NoDiff
BST1	0.004	0.004	0.004	0.966	-0.05	0.226	NoDiff
BTBD19	0.006	0.006	0.005	1.375	0.459	0.387	NoDiff
BTBD8	0.005	0.004	0.006	0.733	-0.448	0.372	NoDiff
BTD	0.051	0.061	0.038	1.604	0.682	0.749	NoDiff
BTF3L4	0.943	0.899	1.005	0.889	-0.17	0	NoDiff
BTG2	3.784	3.913	3.601	1.084	0.116	0	NoDiff
BTLA	0.811	0.765	0.877	0.87	-0.202	0	NoDiff
BUB1	0.073	0.071	0.076	0.946	-0.081	0.07	NoDiff
BZW1	1.393	1.351	1.453	0.933	-0.101	0	NoDiff
C1D	1.164	1.146	1.189	0.961	-0.057	0	NoDiff
C1orf101	0.004	0.003	0.006	0.469	-1.092	0.879	NoDiff
C1orf106	0.032	0.021	0.047	0.452	-1.145	0.95	NoDiff
C1orf109	0.107	0.105	0.109	0.96	-0.059	0.065	NoDiff
C1orf112	0.024	0.021	0.028	0.762	-0.393	0.166	NoDiff
C1orf115	0.026	0.013	0.044	0.294	-1.767	1	GM18502+
C1orf122	1.184	1.244	1.099	1.132	0.179	0	NoDiff
C1orf123	0.51	0.507	0.515	0.985	-0.021	0	NoDiff
C1orf127	0.009	0.009	0.009	1.066	0.092	0.09	NoDiff
C1orf131	0.48	0.482	0.478	1.009	0.013	0	NoDiff
C1orf132	0.077	0.089	0.06	1.47	0.556	0.452	NoDiff
C1orf159	0.047	0.046	0.048	0.956	-0.065	0.075	NoDiff
C1orf162	0.112	0.033	0.224	0.148	-2.761	1	GM18502+
C1orf174	0.329	0.306	0.362	0.851	-0.232	0	NoDiff
C1orf186	0.571	0.39	0.829	0.469	-1.092	1	GM18502+
C1orf198	0.01	0.01	0.01	1.053	0.075	0.04	NoDiff
C1orf204	0.001	0.001	0	2.764	1.467	1	GM12878+
C1orf21	0.018	0.005	0.035	0.156	-2.681	0.955	GM18502+
C1orf216	0.139	0.118	0.168	0.702	-0.51	0.216	NoDiff
C1orf220	0.024	0.028	0.019	1.518	0.602	0.543	NoDiff
C1orf228	0.081	0.064	0.105	0.62	-0.689	0.839	NoDiff
C1orf233	0.005	0.005	0.006	0.799	-0.324	0.216	NoDiff
C1orf234	0.002	0.002	0.001	3.551	1.828	1	GM12878+
C1orf27	0.163	0.166	0.16	1.038	0.054	0	NoDiff
C1orf35	0.352	0.326	0.39	0.841	-0.25	0	NoDiff
C1orf43	3.608	3.395	3.912	0.867	-0.206	0	NoDiff
C1orf50	0.663	0.646	0.687	0.942	-0.086	0	NoDiff
C1orf52	0.364	0.367	0.361	1.012	0.017	0	NoDiff
C1orf53	0.056	0.074	0.029	2.549	1.35	0.98	GM12878+
C1orf54	0.099	0.064	0.147	0.436	-1.198	1	GM18502+
C1orf56	0.437	0.447	0.422	1.053	0.075	0	NoDiff
C1orf61	0.059	0.045	0.078	0.572	-0.806	0.94	NoDiff
C1orf74	0.036	0.036	0.036	1.017	0.024	0.035	NoDiff
C2CD4D	0.003	0.003	0.004	0.693	-0.53	0.442	NoDiff
C2orf15	0.032	0.027	0.039	0.693	-0.529	0.342	NoDiff
C2orf27B	0.009	0.009	0.01	0.908	-0.139	0.101	NoDiff
C2orf42	0.152	0.179	0.113	1.569	0.65	0.769	NoDiff
C2orf44	0.034	0.028	0.043	0.658	-0.605	0.588	NoDiff
C2orf47	0.306	0.301	0.312	0.964	-0.053	0	NoDiff
C2orf48	0.008	0.012	0.002	4.979	2.316	0.764	NoDiff
C2orf49	0.253	0.257	0.247	1.041	0.058	0	NoDiff
C2orf68	0.273	0.268	0.28	0.954	-0.068	0	NoDiff
C2orf69	0.183	0.171	0.2	0.855	-0.226	0	NoDiff
C2orf74	0.344	0.326	0.37	0.88	-0.184	0	NoDiff
C2orf76	0.46	0.525	0.368	1.438	0.524	0.085	NoDiff
C2orf81	0.04	0.041	0.039	1.066	0.093	0.03	NoDiff
C2orf82	0.004	0.003	0.005	0.648	-0.626	0.538	NoDiff
C2orf88	0.491	0.632	0.29	2.179	1.123	1	GM12878+
C2orf91	0.009	0.008	0.012	0.631	-0.665	0.578	NoDiff
C3orf14	0.216	0.046	0.458	0.1	-3.325	1	GM18502+
C3orf17	0.339	0.329	0.353	0.93	-0.105	0	NoDiff
C3orf18	0.008	0.009	0.006	1.584	0.663	0.573	NoDiff
C3orf20	0.001	0.001	0.002	0.377	-1.409	0.955	GM18502+
C3orf33	0.026	0.023	0.031	0.72	-0.473	0.256	NoDiff
C3orf38	0.345	0.343	0.349	0.979	-0.03	0	NoDiff
C3orf49	0.003	0.003	0.003	1.105	0.144	0.302	NoDiff
C3orf52	0.02	0.013	0.029	0.463	-1.11	0.995	GM18502+
C3orf58	0.106	0.131	0.071	1.875	0.907	0.995	GM12878+
C3orf62	0.089	0.09	0.088	1.021	0.031	0.181	NoDiff
C3orf67	0.011	0.006	0.019	0.305	-1.714	1	GM18502+
C4BPB	0.016	0.019	0.012	1.602	0.68	0.658	NoDiff
C4orf26	0.009	0.006	0.013	0.461	-1.116	0.779	NoDiff
C4orf32	0.209	0.165	0.272	0.607	-0.721	0.99	GM18502+
C4orf36	0.159	0.184	0.124	1.483	0.569	0.377	NoDiff
C4orf48	1.293	1.47	1.042	1.397	0.483	0	NoDiff
CAB39	0.311	0.289	0.343	0.848	-0.238	0	NoDiff
CACNA1D	0.004	0.004	0.005	0.798	-0.326	0.312	NoDiff
CACNA1E	0.021	0.024	0.016	1.562	0.643	0.588	NoDiff
CACNB4	0.063	0.034	0.103	0.329	-1.606	1	GM18502+
CACYBP	1.624	1.397	1.947	0.712	-0.489	0	NoDiff
CAD	0.087	0.08	0.098	0.83	-0.269	0.09	NoDiff
CADM3	0.002	0.001	0.003	0.204	-2.295	1	GM18502+
CALCRL	0.02	0.022	0.015	1.44	0.526	0.367	NoDiff
CALM2	9.509	9.388	9.682	0.965	-0.052	0	NoDiff
CAMK1	0.027	0.018	0.041	0.424	-1.239	0.99	GM18502+
CAMK1G	0.003	0.002	0.003	0.949	-0.075	0.271	NoDiff
CAMKMT	0.122	0.128	0.114	1.122	0.165	0	NoDiff
CAMP	0.139	0.147	0.127	1.16	0.214	0.191	NoDiff
CAMSAP2	0.082	0.075	0.092	0.813	-0.298	0	NoDiff
CAMTA1	1.509	1.531	1.478	1.036	0.051	0	NoDiff
CAND2	0.003	0.001	0.007	0.085	-3.559	1	GM18502+
CAP1	3.55	3.012	4.316	0.695	-0.526	0.005	NoDiff
CAPG	0.739	0.607	0.927	0.658	-0.603	0.613	NoDiff
CAPN10	0.142	0.136	0.15	0.905	-0.143	0	NoDiff
CAPN10-AS1	0.204	0.255	0.132	1.947	0.962	1	GM12878+
CAPN14	0.004	0.005	0.003	1.525	0.609	0.513	NoDiff
CAPN2	0.277	0.36	0.157	2.294	1.198	1	GM12878+
CAPN7	0.121	0.134	0.102	1.318	0.398	0.055	NoDiff
CAPN8	0.007	0.009	0.004	2.52	1.333	0.975	GM12878+
CAPZA1	3.031	2.893	3.226	0.902	-0.148	0	NoDiff
CAPZB	4.673	4.344	5.142	0.845	-0.244	0	NoDiff
CARF	0.123	0.137	0.103	1.329	0.411	0.04	NoDiff
CASP10	0.162	0.181	0.135	1.345	0.428	0.101	NoDiff
CASP6	0.261	0.291	0.219	1.33	0.411	0.005	NoDiff
CASP8	0.254	0.265	0.239	1.117	0.16	0	NoDiff
CASP9	0.087	0.082	0.096	0.855	-0.225	0	NoDiff
CASR	0.002	0.002	0.001	4.058	2.021	1	GM12878+
CASZ1	0.031	0.034	0.026	1.278	0.354	0.116	NoDiff
CBLB	0.33	0.378	0.261	1.452	0.538	0.241	NoDiff
CBWD2	0.304	0.241	0.394	0.608	-0.717	0.99	GM18502+
CC2D1B	0.078	0.074	0.084	0.883	-0.18	0.025	NoDiff
CC2D2A	0.003	0.003	0.003	1.103	0.141	0.256	NoDiff
CCBL2	0.297	0.288	0.309	0.941	-0.088	0	NoDiff
CCDC109B	1.744	2.009	1.366	1.472	0.558	0.231	NoDiff
CCDC115	0.566	0.587	0.536	1.1	0.137	0	NoDiff
CCDC12	1.783	1.77	1.801	0.983	-0.025	0	NoDiff
CCDC121	0.009	0.01	0.009	1.061	0.085	0.121	NoDiff
CCDC13	0.01	0.006	0.016	0.385	-1.376	1	GM18502+
CCDC138	0.054	0.042	0.07	0.609	-0.715	0.849	NoDiff
CCDC14	0.229	0.249	0.2	1.247	0.319	0	NoDiff
CCDC141	0.023	0.021	0.025	0.837	-0.256	0.065	NoDiff
CCDC142	0.087	0.089	0.083	1.067	0.093	0.035	NoDiff
CCDC148	0.003	0.002	0.003	0.946	-0.081	0.523	NoDiff
CCDC149	0.004	0.001	0.009	0.111	-3.167	1	GM18502+
CCDC150	0.01	0.01	0.011	0.944	-0.083	0.09	NoDiff
CCDC163P	0.039	0.053	0.019	2.867	1.52	0.995	GM12878+
CCDC17	0.005	0.004	0.005	0.882	-0.181	0.171	NoDiff
CCDC174	0.488	0.536	0.42	1.272	0.347	0	NoDiff
CCDC18	0.224	0.203	0.253	0.802	-0.319	0	NoDiff
CCDC191	0.031	0.034	0.027	1.26	0.334	0.111	NoDiff
CCDC24	0.021	0.022	0.018	1.231	0.3	0.07	NoDiff
CCDC28B	1.637	1.24	2.202	0.563	-0.829	1	GM18502+
CCDC30	0.021	0.025	0.016	1.652	0.724	0.704	NoDiff
CCDC39	0.034	0.043	0.021	2.026	1.019	0.985	GM12878+
CCDC50	1.451	1.594	1.245	1.272	0.347	0	NoDiff
CCDC51	0.292	0.284	0.304	0.942	-0.086	0	NoDiff
CCDC58	0.156	0.128	0.195	0.653	-0.614	0.593	NoDiff
CCDC66	0.204	0.203	0.206	0.986	-0.02	0	NoDiff
CCDC71	0.313	0.282	0.357	0.784	-0.352	0	NoDiff
CCDC74A	0.647	0.432	0.953	0.457	-1.129	1	GM18502+
CCDC74B	0.025	0.037	0.008	4.745	2.246	1	GM12878+
CCDC80	0.004	0.003	0.007	0.436	-1.198	0.915	NoDiff
CCDC85A	0.001	0.002	0	4.676	2.225	1	GM12878+
CCDC88A	0.32	0.287	0.367	0.783	-0.353	0	NoDiff
CCDC93	0.095	0.1	0.088	1.154	0.207	0.09	NoDiff
CCDC96	0.007	0.007	0.008	0.774	-0.37	0.261	NoDiff
CCL20	0.012	0.016	0.007	2.469	1.304	0.945	NoDiff
CCNG2	0.221	0.186	0.271	0.691	-0.533	0.261	NoDiff
CCNI	7.764	7.781	7.741	1.002	0.003	0	NoDiff
CCNL1	0.865	0.842	0.898	0.94	-0.089	0	NoDiff
CCNL2	0.371	0.371	0.372	0.993	-0.01	0	NoDiff
CCNT2	0.115	0.121	0.107	1.133	0.18	0.02	NoDiff
CCNT2-AS1	0.018	0.013	0.025	0.529	-0.919	0.93	NoDiff
CCNYL1	0.064	0.071	0.054	1.318	0.398	0.126	NoDiff
CCR1	0.111	0.115	0.104	1.12	0.164	0.085	NoDiff
CCR2	0.007	0.006	0.008	0.814	-0.297	0.402	NoDiff
CCR3	0.005	0.006	0.003	2.249	1.17	0.899	NoDiff
CCRL2	0.023	0.016	0.034	0.471	-1.085	1	GM18502+
CCSAP	0.034	0.029	0.041	0.701	-0.512	0.327	NoDiff
CCSER1	0.014	0.016	0.011	1.361	0.444	0.327	NoDiff
CCT3	3.201	2.804	3.768	0.744	-0.426	0	NoDiff
CCT4	1.907	1.721	2.173	0.791	-0.339	0	NoDiff
CCT7	1.865	1.641	2.185	0.75	-0.414	0	NoDiff
CD101	0.005	0.005	0.005	0.864	-0.21	0.377	NoDiff
CD160	0.007	0.008	0.006	1.401	0.487	0.377	NoDiff
CD1C	0.098	0.026	0.202	0.126	-2.989	1	GM18502+
CD1D	0.011	0.013	0.007	1.807	0.854	0.894	NoDiff
CD200	0.331	0.274	0.413	0.662	-0.595	0.538	NoDiff
CD200R1	0.039	0.038	0.039	0.977	-0.034	0	NoDiff
CD244	0.009	0.005	0.014	0.332	-1.592	0.995	GM18502+
CD247	0.004	0.003	0.006	0.535	-0.903	0.814	NoDiff
CD28	0.01	0.009	0.012	0.807	-0.309	0.151	NoDiff
CD302	0.03	0.031	0.03	1.013	0.019	0	NoDiff
CD38	1.058	1.43	0.528	2.708	1.437	1	GM12878+
CD46	0.27	0.265	0.278	0.953	-0.069	0	NoDiff
CD47	3.033	2.741	3.45	0.79	-0.34	0	NoDiff
CD48	15.144	14.367	16.252	0.882	-0.181	0	NoDiff
CD52	14.05	14.27	13.738	1.035	0.049	0	NoDiff
CD53	8.276	7.723	9.065	0.849	-0.236	0	NoDiff
CD55	0.598	0.742	0.392	1.881	0.911	1	GM12878+
CD58	0.629	0.589	0.686	0.857	-0.222	0	NoDiff
CD5L	0.001	0.001	0.003	0.213	-2.231	1	GM18502+
CD80	0.215	0.202	0.233	0.866	-0.208	0	NoDiff
CD84	0.102	0.089	0.121	0.732	-0.45	0.106	NoDiff
CD86	0.588	0.669	0.472	1.419	0.505	0.08	NoDiff
CD96	0.021	0.011	0.034	0.316	-1.662	1	GM18502+
CDA	0.007	0.003	0.012	0.303	-1.722	0.829	NoDiff
CDC14A	0.015	0.014	0.016	0.857	-0.223	0.07	NoDiff
CDC20	0.176	0.121	0.254	0.477	-1.069	1	GM18502+
CDC25A	0.027	0.021	0.034	0.609	-0.716	0.744	NoDiff
CDC42	4.252	4.272	4.224	1.011	0.016	0	NoDiff
CDC42BPA	0.022	0.011	0.038	0.283	-1.821	1	GM18502+
CDC42EP3	0.51	0.464	0.577	0.803	-0.316	0	NoDiff
CDC42SE1	0.906	0.886	0.935	0.946	-0.08	0	NoDiff
CDC7	0.037	0.028	0.049	0.565	-0.823	0.899	NoDiff
CDC73	0.494	0.535	0.436	1.224	0.292	0	NoDiff
CDCA7	0.187	0.141	0.254	0.553	-0.856	1	GM18502+
CDCA8	0.049	0.038	0.064	0.581	-0.784	0.945	NoDiff
CDCP1	0.007	0.006	0.008	0.731	-0.452	0.387	NoDiff
CDK11A	0.288	0.278	0.302	0.918	-0.124	0	NoDiff
CDK11B	0.367	0.379	0.348	1.089	0.123	0	NoDiff
CDK18	0.003	0.001	0.006	0.132	-2.919	1	GM18502+
CDKL2	0.003	0.003	0.003	0.951	-0.072	0.307	NoDiff
CDKL4	0.001	0.001	0.003	0.209	-2.256	1	GM18502+
CDKN2C	1.339	1.739	0.769	2.267	1.181	1	GM12878+
CDV3	1.347	1.396	1.278	1.098	0.134	0	NoDiff
CEBPZ	0.452	0.436	0.474	0.918	-0.123	0	NoDiff
CEBPZOS	0.573	0.556	0.597	0.934	-0.099	0	NoDiff
CELSR2	0.003	0.003	0.003	0.753	-0.41	0.412	NoDiff
CELSR3	0.004	0.003	0.005	0.647	-0.629	0.533	NoDiff
CENPA	0.08	0.064	0.104	0.616	-0.7	0.869	NoDiff
CENPC	0.236	0.233	0.24	0.972	-0.041	0	NoDiff
CENPE	0.079	0.058	0.109	0.537	-0.898	0.955	GM18502+
CENPF	0.158	0.11	0.227	0.479	-1.061	1	GM18502+
CENPL	0.078	0.07	0.09	0.78	-0.359	0.055	NoDiff
CENPO	0.028	0.028	0.027	1.022	0.032	0	NoDiff
CEP104	0.312	0.326	0.294	1.106	0.145	0	NoDiff
CEP135	0.134	0.146	0.116	1.258	0.331	0.005	NoDiff
CEP170	0.187	0.179	0.198	0.898	-0.155	0	NoDiff
CEP19	0.11	0.109	0.113	0.956	-0.065	0.151	NoDiff
CEP350	0.376	0.39	0.356	1.09	0.124	0	NoDiff
CEP63	0.382	0.417	0.332	1.256	0.329	0	NoDiff
CEP68	0.099	0.098	0.102	0.956	-0.064	0.055	NoDiff
CEP70	0.049	0.062	0.032	1.94	0.956	0.995	GM12878+
CEP85	0.034	0.03	0.038	0.79	-0.339	0.085	NoDiff
CEP97	0.061	0.074	0.044	1.662	0.733	0.899	NoDiff
CEPT1	0.744	0.588	0.965	0.608	-0.718	1	GM18502+
CERKL	0.004	0.004	0.003	1.502	0.587	0.503	NoDiff
CERS2	0.322	0.311	0.337	0.927	-0.11	0	NoDiff
CERS6	0.345	0.364	0.319	1.137	0.185	0	NoDiff
CFAP36	0.352	0.304	0.42	0.72	-0.474	0.02	NoDiff
CFAP44	0.013	0.014	0.011	1.378	0.463	0.342	NoDiff
CFAP45	0.005	0.005	0.005	1.098	0.135	0.186	NoDiff
CFAP57	0.077	0.079	0.075	1.049	0.069	0.04	NoDiff
CFLAR	2.092	2.268	1.842	1.239	0.309	0	NoDiff
CFLAR-AS1	0.004	0.004	0.005	0.766	-0.384	0.362	NoDiff
CGGBP1	0.628	0.661	0.581	1.135	0.183	0	NoDiff
CGN	0.005	0.006	0.004	1.621	0.697	0.633	NoDiff
CGREF1	0.006	0	0.015	0.034	-4.889	1	GM18502+
CH17-189H20.1	0.581	0.703	0.406	1.733	0.793	1	GM12878+
CH17-353B19.1	0.004	0.004	0.004	1.048	0.068	0.251	NoDiff
CH17-373J23.1	0.039	0.028	0.054	0.506	-0.982	0.975	GM18502+
CHAC2	0.345	0.379	0.296	1.269	0.344	0	NoDiff
CHCHD4	0.234	0.211	0.266	0.79	-0.341	0	NoDiff
CHCHD5	1.681	1.751	1.58	1.104	0.142	0	NoDiff
CHCHD6	0.138	0.142	0.133	1.07	0.098	0.176	NoDiff
CHD1L	0.277	0.235	0.335	0.7	-0.514	0.131	NoDiff
CHD5	0.001	0.001	0.002	0.375	-1.413	0.99	GM18502+
CHDH	0.078	0.032	0.144	0.22	-2.187	1	GM18502+
CHI3L1	0.011	0.013	0.009	1.461	0.547	0.754	NoDiff
CHI3L2	2.984	1.141	5.611	0.203	-2.304	1	GM18502+
CHIC2	0.305	0.32	0.284	1.129	0.175	0	NoDiff
CHIT1	0.017	0.015	0.02	0.785	-0.35	0.126	NoDiff
CHL1	0.009	0.005	0.016	0.321	-1.639	1	GM18502+
CHML	0.037	0.033	0.043	0.742	-0.431	0.191	NoDiff
CHMP2B	0.492	0.545	0.416	1.313	0.393	0	NoDiff
CHMP3	0.646	0.628	0.672	0.934	-0.098	0	NoDiff
CHN1	0.004	0.006	0.003	1.884	0.914	0.759	NoDiff
CHPF	0.541	0.639	0.401	1.596	0.674	0.92	NoDiff
CHRNA1	0.003	0.003	0.004	0.56	-0.837	0.739	NoDiff
CHST10	0.083	0.076	0.095	0.8	-0.322	0.101	NoDiff
CHST2	0.547	0.579	0.501	1.158	0.211	0	NoDiff
CHTOP	0.861	0.821	0.917	0.892	-0.166	0	NoDiff
CIAO1	0.578	0.584	0.569	1.022	0.031	0	NoDiff
CIART	0.004	0.002	0.007	0.354	-1.496	0.975	GM18502+
CIDEC	0.004	0.003	0.004	0.719	-0.475	0.377	NoDiff
CIR1	0.941	1.029	0.817	1.259	0.332	0	NoDiff
CISD2	1.793	1.988	1.516	1.301	0.38	0	NoDiff
CISH	0.015	0.012	0.019	0.644	-0.636	0.603	NoDiff
CITED4	0.003	0.004	0.003	1.452	0.538	0.668	NoDiff
CKAP2L	0.011	0.01	0.013	0.713	-0.488	0.367	NoDiff
CKS1B	0.79	0.699	0.92	0.758	-0.399	0	NoDiff
CLASP1	0.097	0.096	0.098	0.98	-0.03	0.191	NoDiff
CLASP2	0.077	0.08	0.072	1.119	0.162	0.07	NoDiff
CLCC1	0.212	0.23	0.186	1.238	0.308	0	NoDiff
CLCN2	0.004	0.003	0.006	0.616	-0.699	0.593	NoDiff
CLCN6	0.05	0.041	0.062	0.658	-0.604	0.603	NoDiff
CLDN11	0.004	0.003	0.005	0.691	-0.533	0.492	NoDiff
CLDN16	0.003	0.004	0.003	1.461	0.547	0.472	NoDiff
CLDN18	0.003	0.004	0.003	1.445	0.531	0.462	NoDiff
CLDND1	0.89	0.902	0.873	1.032	0.046	0	NoDiff
CLHC1	0.032	0.03	0.036	0.848	-0.238	0.055	NoDiff
CLIC4	0.371	0.432	0.284	1.521	0.605	0.608	NoDiff
CLIP4	0.142	0.151	0.128	1.189	0.249	0	NoDiff
CLK1	0.377	0.413	0.326	1.275	0.351	0	NoDiff
CLK2	0.08	0.075	0.087	0.859	-0.219	0.136	NoDiff
CLNK	0.062	0.087	0.025	3.458	1.79	1	GM12878+
CLOCK	0.142	0.152	0.128	1.188	0.248	0	NoDiff
CLSPN	0.079	0.056	0.113	0.493	-1.02	1	GM18502+
CLSTN1	0.259	0.239	0.288	0.837	-0.257	0	NoDiff
CMC1	0.791	0.746	0.856	0.871	-0.2	0	NoDiff
CMPK1	2.121	2.093	2.161	0.967	-0.048	0	NoDiff
CMPK2	0.143	0.091	0.217	0.416	-1.267	1	GM18502+
CMSS1	0.474	0.397	0.584	0.678	-0.561	0.312	NoDiff
CMTM6	1.269	1.203	1.365	0.882	-0.182	0	NoDiff
CMTM7	0.07	0.07	0.069	1.017	0.025	0	NoDiff
CMTM8	0.004	0.004	0.004	0.907	-0.142	0.186	NoDiff
CNBP	3.816	3.443	4.348	0.788	-0.344	0	NoDiff
CNGA1	0.026	0.037	0.009	4.052	2.019	0.965	GM12878+
CNIH3	0.041	0.038	0.045	0.866	-0.207	0.04	NoDiff
CNIH4	0.658	0.63	0.698	0.895	-0.159	0	NoDiff
CNKSR1	0.104	0.105	0.102	1.041	0.059	0.151	NoDiff
CNN3	0.059	0.088	0.017	5.301	2.406	1	GM12878+
CNNM3	0.022	0.025	0.019	1.314	0.394	0.196	NoDiff
CNNM4	0.039	0.035	0.044	0.823	-0.281	0.095	NoDiff
CNOT10	0.194	0.188	0.204	0.919	-0.121	0	NoDiff
CNOT11	0.38	0.378	0.383	0.986	-0.02	0	NoDiff
CNOT6L	0.09	0.1	0.074	1.355	0.438	0.211	NoDiff
CNPPD1	0.275	0.306	0.23	1.326	0.407	0.01	NoDiff
CNR2	0.152	0.157	0.144	1.092	0.128	0	NoDiff
CNST	0.115	0.112	0.119	0.938	-0.092	0	NoDiff
COA5	0.758	0.693	0.85	0.814	-0.296	0	NoDiff
COA6	1.101	1.004	1.239	0.809	-0.307	0	NoDiff
COA7	0.165	0.146	0.193	0.753	-0.408	0.02	NoDiff
COG2	0.162	0.167	0.154	1.077	0.107	0	NoDiff
COL16A1	0.004	0.004	0.004	0.959	-0.061	0.226	NoDiff
COL24A1	0.105	0.145	0.049	2.96	1.566	1	GM12878+
COL3A1	0.004	0.005	0.003	1.738	0.797	0.764	NoDiff
COL4A3	0.03	0.029	0.033	0.88	-0.185	0.045	NoDiff
COL4A4	0.077	0.087	0.062	1.397	0.482	0.312	NoDiff
COL5A2	0.003	0.003	0.004	0.722	-0.47	0.407	NoDiff
COL7A1	0.003	0.003	0.002	1.327	0.408	0.407	NoDiff
COL9A2	0.256	0.222	0.304	0.73	-0.454	0.02	NoDiff
COLQ	0.005	0.006	0.004	1.261	0.335	0.342	NoDiff
COMMD1	1.151	1.195	1.089	1.1	0.137	0	NoDiff
COMMD2	0.476	0.459	0.501	0.91	-0.136	0	NoDiff
COMMD8	1.297	1.311	1.277	1.029	0.041	0	NoDiff
COPA	0.651	0.678	0.612	1.104	0.142	0	NoDiff
COPB2	0.643	0.721	0.531	1.359	0.442	0.005	NoDiff
COPG1	0.437	0.54	0.291	1.86	0.895	1	GM12878+
COPS4	0.688	0.703	0.666	1.053	0.074	0	NoDiff
COPS7B	0.334	0.32	0.354	0.908	-0.139	0	NoDiff
COPS8	0.734	0.733	0.735	0.994	-0.009	0	NoDiff
COQ10B	0.468	0.505	0.416	1.207	0.271	0	NoDiff
COQ2	0.245	0.182	0.336	0.543	-0.881	1	GM18502+
CORT	0.003	0.002	0.003	0.762	-0.393	0.402	NoDiff
COX17	3.697	3.495	3.985	0.875	-0.193	0	NoDiff
COX18	0.145	0.149	0.139	1.078	0.109	0	NoDiff
COX20	1.512	1.168	2.002	0.586	-0.772	1	GM18502+
COX5B	8.41	8.559	8.197	1.041	0.057	0	NoDiff
COX7A2L	7.97	8.12	7.755	1.044	0.063	0	NoDiff
CPEB2	0.029	0.03	0.028	1.077	0.107	0	NoDiff
CPLX1	0.009	0.011	0.007	1.58	0.66	0.633	NoDiff
CPOX	0.401	0.38	0.43	0.886	-0.174	0	NoDiff
CPS1	0.003	0.004	0.002	1.663	0.733	0.593	NoDiff
CPSF3	0.307	0.275	0.353	0.779	-0.361	0	NoDiff
CPSF3L	0.528	0.466	0.615	0.758	-0.4	0	NoDiff
